name_launch,date_utc,success,payloads,rocket,upcoming,launchpad,name_payload,mass_kg,type,orbit,customers
Türksat 5B,2021-12-19 03:58:00+00:00,True,5fe3c080b3467846b3242190,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,Türksat 5B,3500.0,Satellite,GTO,Turksat
CRS-24,2021-12-21 10:06:00+00:00,True,6161d22a6db1a92bfba85357,5e9d0d95eda69973a809d1ec,False,5e9e4502f509094188566f88,CRS-24,4701.5,Dragon 2.0,ISS,NASA (CRS)
Starlink 4-5 (v1.5),2022-01-06 21:49:00+00:00,True,61d5ece4f88e4c5fc91f1ebb,5e9d0d95eda69973a809d1ec,False,5e9e4502f509094188566f88,Starlink 4-5 (v1.5),13260.0,Satellite,VLEO,SpaceX
Transporter-3,2022-01-13 15:25:00+00:00,True,6175aaacefa4314085aa9c56,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,NROL-87,4701.5,Satellite,LEO,"National Reconnaissance Office, USAF"
Starlink 4-6 (v1.5),2022-01-19 00:04:00+00:00,True,61e05516be8d8b66799018d4,5e9d0d95eda69973a809d1ec,False,5e9e4502f509094188566f88,Starlink 4-6 (v1.5),13260.0,Satellite,VLEO,SpaceX
CSG-2,2022-01-31 23:11:12+00:00,True,6161d3a06db1a92bfba8535a,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,CSG-2,2240.0,Satellite,SSO,ESA
NROL-87,2022-02-02 20:18:00+00:00,True,6175aaacefa4314085aa9c56,5e9d0d95eda69973a809d1ec,False,5e9e4502f509092b78566f87,NROL-87,4701.5,Satellite,LEO,"National Reconnaissance Office, USAF"
Starlink 4-7 (v1.5),2022-02-03 18:13:00+00:00,True,61e05520be8d8b66799018d5,5e9d0d95eda69973a809d1ec,False,5e9e4502f509094188566f88,Starlink 4-7 (v1.5),13260.0,Satellite,VLEO,SpaceX
Starlink 4-8 (v1.5),2022-02-21 14:44:00+00:00,True,61fc02e1e0dc5662b76489b4,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,Starlink 4-8 (v1.5),13260.0,Satellite,VLEO,SpaceX
Starlink 4-11 (v1.5),2022-02-25 17:12:00+00:00,True,61fc0334e0dc5662b76489b5,5e9d0d95eda69973a809d1ec,False,5e9e4502f509092b78566f87,Starlink 4-11 (v1.5),13260.0,Satellite,VLEO,SpaceX
Starlink 4-9 (v1.5),2022-03-03 14:35:00+00:00,True,61fc0379e0dc5662b76489b6,5e9d0d95eda69973a809d1ec,False,5e9e4502f509094188566f88,Starlink 4-9 (v1.5),13260.0,Satellite,VLEO,SpaceX
Starlink 4-10 (v1.5),2022-03-09 13:45:00+00:00,True,61fc0382e0dc5662b76489b7,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,Starlink 4-10 (v1.5),13260.0,Satellite,VLEO,SpaceX
Starlink 4-12 (v1.5),2022-03-19 03:24:00+00:00,True,623491e5f051102e1fcedac9,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,Starlink 4-12 (v1.5),13260.0,Satellite,VLEO,SpaceX
Transporter-4,2022-04-01 16:24:00+00:00,True,6243af62af52800c6e919260,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,Transporter-4,4701.5,Satellite,SSO,
Ax-1,2022-04-08 15:17:00+00:00,True,61eefb129eb1064137a1bd74,5e9d0d95eda69973a809d1ec,False,5e9e4502f509094188566f88,Ax-1,4701.5,Dragon 2.0,ISS,Axiom Space
NROL-85,2022-04-17 13:13:00+00:00,True,6243b036af52800c6e919262,5e9d0d95eda69973a809d1ec,False,5e9e4502f509092b78566f87,NROL-85,4701.5,Satellite,LEO,"USAF, National Reconnaissance Office"
Starlink 4-14 (v1.5),2022-04-21 15:16:00+00:00,True,6243af9faf52800c6e919261,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,Starlink 4-14 (v1.5),13260.0,Satellite,VLEO,SpaceX
Crew-4,2022-04-27 07:52:00+00:00,True,6243b1cdaf52800c6e919265,5e9d0d95eda69973a809d1ec,False,5e9e4502f509094188566f88,Crew-4,4701.5,Crew Dragon,ISS,NASA (CCtCap)
